,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,TotalIncome,TotalIncome_log
0,LP001002,1,0,0,0,0,5849,0.0,130.0,360.0,1.0,2,1,4.867534450455582,5849.0,8.674025985443025
1,LP001003,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0,4.852030263919617,6091.0,8.714567550836485
2,LP001005,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1,4.189654742026425,3000.0,8.006367567650246
3,LP001006,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,4.787491742782046,4941.0,8.50532301884575
4,LP001008,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1,4.948759890378168,6000.0,8.699514748210191
5,LP001011,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1,5.58724865840025,9613.0,9.170871628065816
6,LP001013,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,4.553876891600541,3849.0,8.255568653283746
7,LP001014,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,5.062595033026967,5540.0,8.61974977974133
8,LP001018,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1,5.123963979403259,5532.0,8.61830469278465
9,LP001020,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,5.855071922202427,23809.0,10.077818939438902
10,LP001024,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1,4.248495242049359,3900.0,8.268731832117737
11,LP001027,1,1,2,0,0,2500,1840.0,109.0,360.0,1.0,2,1,4.6913478822291435,4340.0,8.375629627094451
12,LP001028,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1,5.298317366548036,11179.0,9.321792297270326
13,LP001029,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,4.736198448394496,4693.0,8.453827315794417
14,LP001030,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1,2.833213344056216,2385.0,7.776954403322442
15,LP001032,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1,4.8283137373023015,4950.0,8.507142855562735
17,LP001036,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0,4.330733340286331,3510.0,8.163371316459912
18,LP001038,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0,4.890349128221754,4887.0,8.494333897270154
19,LP001041,1,1,0,0,0,2600,3500.0,115.0,360.0,1.0,2,1,4.74493212836325,6100.0,8.716044050161402
20,LP001043,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0,4.6443908991413725,7660.0,8.943767262734637
21,LP001046,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1,5.752572638825633,11580.0,9.357034751126987
22,LP001047,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0,4.7535901911063645,4511.0,8.414274137408396
23,LP001050,0,1,2,1,0,3365,1917.0,112.0,360.0,0.0,0,0,4.718498871295094,5282.0,8.572060092857077
25,LP001066,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1,5.25227342804663,9560.0,9.165343006045447
26,LP001068,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1,4.804021044733257,5052.0,8.527539483470381
27,LP001073,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1,4.700480365792417,5266.0,8.569026340056254
28,LP001086,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0,3.5553480614894135,1442.0,7.273786317844895
29,LP001087,0,0,2,0,0,3750,2083.0,120.0,360.0,1.0,1,1,4.787491742782046,5833.0,8.671286726753637
31,LP001095,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,0,4.30406509320417,3167.0,8.06054004653864
32,LP001097,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,0,4.663439094112067,4692.0,8.453614209773367
33,LP001098,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1,4.736198448394496,5167.0,8.550047528287184
34,LP001100,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,0,5.768320995793772,15500.0,9.648595302907339
35,LP001106,1,1,0,0,0,2275,2067.0,130.0,360.0,1.0,2,1,4.867534450455582,4342.0,8.376090350438238
36,LP001109,1,1,0,0,0,1828,1330.0,100.0,360.0,0.0,2,0,4.605170185988092,3158.0,8.057694194815587
37,LP001112,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1,4.969813299576001,5126.0,8.542080906924017
38,LP001114,1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,2,1,5.214935757608986,11376.0,9.339261152043022
39,LP001116,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,1,4.700480365792417,5416.0,8.59711281459211
40,LP001119,1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,0,4.382026634673881,3600.0,8.1886891244442
41,LP001120,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,1,3.8501476017100584,3013.0,8.0106915391303
43,LP001131,1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,1,1,4.897839799950911,6277.0,8.744647438317532
44,LP001136,1,1,0,1,1,4695,0.0,96.0,360.0,1.0,2,1,4.564348191467836,4695.0,8.454253391642363
45,LP001137,0,0,0,0,0,3410,0.0,88.0,360.0,1.0,2,1,4.477336814478207,3410.0,8.134467570277563
46,LP001138,1,1,1,0,0,5649,0.0,44.0,360.0,1.0,2,1,3.784189633918261,5649.0,8.639233817325263
47,LP001144,1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,1,4.969813299576001,5821.0,8.669227347271736
48,LP001146,0,1,0,0,0,2645,3440.0,120.0,360.0,0.0,2,0,4.787491742782046,6085.0,8.713582005421628
49,LP001151,0,0,0,0,0,4000,2275.0,144.0,360.0,1.0,1,1,4.969813299576001,6275.0,8.744328763999984
50,LP001155,0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,1,1,4.605170185988092,3572.0,8.18088094199639
51,LP001157,0,0,0,0,0,3086,0.0,120.0,360.0,1.0,1,1,4.787491742782046,3086.0,8.034631032923107
52,LP001164,0,0,0,0,0,4230,0.0,112.0,360.0,1.0,1,0,4.718498871295094,4230.0,8.349957272040324
53,LP001179,1,1,2,0,0,4616,0.0,134.0,360.0,1.0,2,0,4.897839799950911,4616.0,8.437283808187935
